transport,vehicle_type,vehicle_monthly_distance_km,frequency_of_traveling_by_air,region,heating_energy_source,how_long_tv_pc_daily_hour,how_long_internet_daily_hour,diet,monthly_grocery_bill,how_many_new_clothes_monthly,waste_bag_size,waste_bag_weekly_count,recycling,cooking_with,grid_factor,grocery_factor,household_size,country,carbon_emission_kgco2e_month
private,petrol,163.8,rarely,mixed,natural gas,3.5,5.5,vegetarian,1085.2,2,small,1,"['paper', 'plastic']",['microwave'],0.3844,0.36,1,us,632.9
public,none,752.7,rarely,mixed,natural gas,7.0,1.5,vegetarian,929.7,3,large,1,['paper'],"['stove', 'microwave']",0.67013,0.11,1,india,498.9
private,diesel,100.0,rarely,renewable_heavy,electricity,4.5,1.5,vegetarian,4319.4,2,medium,2,"['paper', 'glass']",['stove'],0.147,0.11,1,india,828.8
walk/bicycle,none,198.1,rarely,mixed,electricity,5.0,2.0,pescatarian,343.0,1,small,4,"['paper', 'plastic']",['stove'],0.21741,0.44,2,uk,385.3
private,none,71.4,very frequently,renewable_heavy,electricity,2.0,4.5,omnivore,510.2,0,extra large,2,['none'],['stove'],0.147,0.11,3,india,756.3
private,petrol,260.2,never,mixed,natural gas,3.5,4.5,omnivore,195.8,2,medium,3,['none'],"['stove', 'microwave', 'grill']",0.21741,0.44,2,uk,466.1
walk/bicycle,none,559.7,never,renewable_heavy,electricity,3.0,9.0,omnivore,320.0,0,large,2,['plastic'],"['stove', 'oven']",0.048,0.44,3,uk,394.0
public,none,234.7,rarely,mixed,natural gas,4.0,7.5,vegetarian,1504.6,4,extra large,7,"['paper', 'metal']","['stove', 'oven']",0.67013,0.11,2,india,832.8
private,petrol,130.9,very frequently,mixed,natural gas,10.0,8.0,vegan,300.2,4,small,2,"['paper', 'metal']",['stove'],0.3844,0.36,3,us,710.0
public,none,125.4,rarely,mixed,electricity,6.0,7.5,omnivore,884.6,2,extra large,6,['plastic'],['microwave'],0.67013,0.11,2,india,738.9
walk/bicycle,none,200.6,rarely,mixed,natural gas,5.0,2.0,vegetarian,437.3,1,large,2,['none'],['stove'],0.3844,0.36,7,us,378.5
private,diesel,296.8,very frequently,mixed,electricity,3.0,3.0,omnivore,4626.8,4,large,3,['none'],"['stove', 'oven', 'microwave', 'grill']",0.67013,0.11,2,india,1477.0
private,petrol,396.4,never,mixed,electricity,3.0,0.0,vegan,834.3,5,small,1,['metal'],"['stove', 'microwave', 'airfryer']",0.21741,0.44,1,uk,647.0
private,none,71.1,never,renewable_heavy,electricity,4.5,5.0,omnivore,3881.6,3,small,6,"['paper', 'plastic']","['stove', 'microwave']",0.147,0.11,5,india,700.1
walk/bicycle,none,117.2,rarely,mixed,natural gas,5.5,9.0,omnivore,404.5,5,medium,1,['none'],"['stove', 'microwave', 'grill', 'airfryer']",0.3844,0.36,1,us,671.7
private,petrol,667.4,rarely,mixed,wood,4.5,5.0,pescatarian,3899.9,5,small,4,['paper'],['stove'],0.67013,0.11,1,india,879.4
private,petrol,283.8,never,mixed,electricity,2.5,2.0,vegetarian,839.2,6,large,2,['paper'],"['stove', 'oven', 'microwave', 'grill', 'airfryer']",0.67013,0.11,1,india,661.8
private,electric,207.0,rarely,renewable_heavy,electricity,4.5,3.0,omnivore,625.2,5,extra large,1,"['paper', 'plastic', 'glass']","['stove', 'microwave']",0.085,0.36,1,us,729.4
private,diesel,366.9,rarely,mixed,electricity,6.0,6.0,omnivore,1070.6,0,extra large,4,"['paper', 'plastic']","['stove', 'oven']",0.3844,0.36,8,us,782.1
private,diesel,22.1,never,mixed,electricity,7.0,3.5,omnivore,549.1,2,medium,2,"['paper', 'plastic', 'glass']","['stove', 'oven', 'microwave']",0.21741,0.44,3,uk,554.8
private,petrol,332.2,rarely,mixed,natural gas,7.0,7.5,omnivore,818.9,2,medium,2,"['paper', 'plastic']",['oven'],0.67013,0.11,1,india,553.0
private,petrol,1759.1,never,mixed,natural gas,3.0,7.0,vegan,1221.4,3,small,2,"['plastic', 'glass']","['stove', 'microwave', 'airfryer']",0.67013,0.11,1,india,621.8
private,petrol,194.0,never,mixed,natural gas,0.0,4.5,omnivore,1396.7,0,medium,1,"['paper', 'plastic']","['oven', 'microwave', 'grill']",0.67013,0.11,5,india,471.1
private,electric,233.1,often,mixed,electricity,1.5,2.0,omnivore,1103.0,1,medium,1,"['paper', 'glass']","['stove', 'microwave', 'airfryer']",0.67013,0.11,4,india,654.6
private,petrol,135.2,rarely,mixed,electricity,1.0,6.5,omnivore,304.5,8,medium,1,['none'],"['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,634.2
private,petrol,76.7,rarely,renewable_heavy,electricity,4.5,3.5,vegetarian,345.4,3,medium,1,['paper'],"['stove', 'microwave', 'grill']",0.048,0.44,1,uk,454.1
public,none,115.9,rarely,mixed,natural gas,1.5,6.5,omnivore,321.5,2,small,6,"['paper', 'plastic']","['stove', 'oven', 'microwave', 'airfryer']",0.21741,0.44,2,uk,548.1
private,diesel,406.3,never,mixed,natural gas,2.5,6.5,vegan,1215.8,1,medium,5,['none'],"['stove', 'oven', 'microwave']",0.67013,0.11,2,india,484.4
private,diesel,301.8,rarely,mixed,electricity,3.5,3.5,omnivore,819.4,1,small,8,['paper'],['stove'],0.3844,0.36,1,us,782.5
private,petrol,82.8,never,renewable_heavy,electricity,12.0,9.0,omnivore,330.0,1,small,4,['none'],['none'],0.048,0.44,1,uk,481.6
public,none,102.6,rarely,mixed,electricity,8.0,4.5,pescatarian,912.0,1,medium,3,['paper'],"['stove', 'oven', 'microwave']",0.67013,0.11,1,india,536.0
public,none,104.4,never,mixed,wood,3.5,7.5,vegetarian,348.6,3,medium,6,['none'],['microwave'],0.3844,0.36,1,us,498.6
walk/bicycle,none,210.5,often,renewable_heavy,natural gas,8.5,7.0,vegetarian,1467.7,2,extra large,2,['paper'],['microwave'],0.147,0.11,1,india,678.0
private,none,151.6,often,mixed,natural gas,4.5,4.5,vegetarian,732.9,1,small,6,['none'],['oven'],0.67013,0.11,1,india,534.5
private,diesel,170.3,very frequently,mixed,electricity,2.5,2.0,vegan,295.4,3,small,3,"['paper', 'plastic', 'glass']",['microwave'],0.21741,0.44,1,uk,810.7
private,none,68.9,often,mixed,electricity,5.5,5.0,vegetarian,4045.8,0,large,2,['none'],"['stove', 'microwave']",0.67013,0.11,2,india,897.9
private,petrol,781.4,rarely,mixed,electricity,2.0,7.0,omnivore,317.4,0,medium,3,"['paper', 'plastic', 'glass']",['stove'],0.21741,0.44,3,uk,569.5
walk/bicycle,none,237.4,never,mixed,electricity,0.0,4.5,omnivore,1802.9,3,extra large,6,['none'],"['microwave', 'airfryer']",0.67013,0.11,2,india,743.3
private,diesel,113.3,never,mixed,electricity,0.0,4.0,omnivore,2701.9,7,medium,8,"['plastic', 'metal']","['stove', 'oven', 'microwave']",0.67013,0.11,4,india,733.4
public,none,88.6,never,mixed,electricity,7.0,6.0,omnivore,1438.8,0,large,1,"['paper', 'plastic', 'metal', 'glass']",['microwave'],0.67013,0.11,2,india,449.7
walk/bicycle,none,128.2,often,mixed,electricity,4.0,5.5,vegetarian,1095.7,1,small,4,['none'],"['oven', 'microwave']",0.67013,0.11,2,india,501.2
public,none,520.0,often,renewable_heavy,electricity,1.5,3.0,omnivore,655.4,7,extra large,2,['metal'],"['stove', 'oven', 'microwave']",0.085,0.36,10,us,788.3
private,petrol,704.9,never,mixed,electricity,5.0,1.5,vegetarian,1975.0,0,medium,2,['plastic'],"['stove', 'oven']",0.67013,0.11,2,india,545.9
public,none,102.5,never,renewable_heavy,natural gas,0.5,6.5,vegetarian,173.6,3,large,3,"['paper', 'plastic', 'glass']","['stove', 'microwave', 'grill']",0.085,0.36,1,us,449.9
private,petrol,122.2,never,mixed,natural gas,1.5,3.0,vegetarian,457.0,1,small,4,['plastic'],"['stove', 'oven', 'microwave', 'grill', 'airfryer']",0.21741,0.44,1,uk,463.2
private,petrol,40.3,very frequently,renewable_heavy,electricity,5.5,4.0,omnivore,2377.5,4,small,1,['paper'],['none'],0.147,0.11,1,india,1052.4
private,petrol,42.5,never,renewable_heavy,wood,8.5,8.0,pescatarian,763.0,4,medium,1,"['plastic', 'metal']",['stove'],0.147,0.11,2,india,304.8
walk/bicycle,none,204.4,often,mixed,wood,1.0,12.0,vegetarian,119.6,2,small,3,['none'],['stove'],0.3844,0.36,1,us,467.8
public,none,136.6,often,mixed,natural gas,1.5,10.5,omnivore,252.7,1,medium,1,['none'],"['stove', 'microwave']",0.21741,0.44,4,uk,562.9
private,lpg,131.2,often,mixed,natural gas,3.5,5.0,omnivore,1804.0,1,medium,3,"['metal', 'glass']","['stove', 'oven']",0.3844,0.36,1,us,1303.9
public,none,116.1,rarely,mixed,electricity,5.5,9.0,omnivore,5000.0,1,medium,4,['none'],"['oven', 'microwave', 'airfryer']",0.67013,0.11,1,india,1102.2
private,hybrid,242.0,never,mixed,electricity,5.0,1.5,vegetarian,1024.7,0,large,3,['paper'],"['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,1,us,819.2
public,none,203.7,never,renewable_heavy,electricity,3.0,4.5,vegetarian,294.2,3,medium,3,['glass'],"['stove', 'microwave', 'grill']",0.085,0.36,2,us,347.4
private,petrol,462.6,very frequently,mixed,electricity,4.0,4.0,vegetarian,1265.1,0,large,1,['none'],['stove'],0.67013,0.11,1,india,878.4
private,petrol,1884.2,rarely,mixed,electricity,4.5,3.5,vegetarian,977.8,6,medium,7,['none'],"['stove', 'microwave', 'airfryer']",0.67013,0.11,3,india,857.5
private,petrol,69.2,rarely,mixed,wood,8.5,5.5,omnivore,184.9,1,large,5,"['paper', 'glass']","['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,668.1
public,none,59.6,rarely,mixed,wood,6.5,6.0,vegetarian,2809.5,1,medium,5,['none'],"['stove', 'oven', 'microwave']",0.67013,0.11,1,india,715.3
walk/bicycle,none,776.0,never,mixed,electricity,2.0,4.0,vegan,5000.0,1,medium,4,"['paper', 'plastic']",['none'],0.67013,0.11,1,india,841.0
private,diesel,172.1,rarely,mixed,natural gas,0.5,5.5,vegetarian,1739.3,7,medium,1,['paper'],"['oven', 'airfryer']",0.67013,0.11,4,india,585.7
private,petrol,374.8,often,renewable_heavy,wood,5.5,2.5,omnivore,329.8,2,medium,1,['plastic'],"['stove', 'microwave']",0.085,0.36,2,us,631.1
private,hybrid,66.0,never,mixed,natural gas,1.0,0.0,vegetarian,268.2,4,medium,5,['paper'],"['stove', 'microwave']",0.3844,0.36,1,us,471.3
public,none,69.8,never,mixed,electricity,5.0,5.5,vegetarian,1773.3,1,medium,2,['none'],"['stove', 'oven']",0.67013,0.11,1,india,543.5
private,petrol,395.7,never,mixed,wood,6.0,6.0,vegan,277.5,3,medium,1,['glass'],"['stove', 'microwave', 'airfryer']",0.3844,0.36,2,us,371.9
private,electric,58.8,often,mixed,natural gas,6.5,7.5,omnivore,205.4,3,medium,1,"['paper', 'metal']","['stove', 'microwave']",0.3844,0.36,1,us,640.6
private,lpg,660.2,rarely,mixed,electricity,1.5,1.5,omnivore,2206.6,2,small,5,"['paper', 'plastic', 'glass']","['stove', 'grill']",0.67013,0.11,2,india,698.9
private,petrol,387.5,rarely,mixed,electricity,6.0,1.5,omnivore,234.5,2,small,5,['plastic'],"['stove', 'oven', 'grill', 'airfryer']",0.21741,0.44,3,uk,516.7
walk/bicycle,none,97.7,never,mixed,natural gas,7.0,0.0,omnivore,1496.5,2,large,9,"['plastic', 'glass']","['stove', 'oven']",0.67013,0.11,3,india,616.5
private,lpg,736.8,rarely,renewable_heavy,electricity,3.5,6.0,omnivore,2014.1,2,large,3,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.147,0.11,4,india,642.4
private,none,295.9,never,mixed,natural gas,2.0,3.0,vegetarian,116.9,3,extra large,3,['none'],"['oven', 'grill']",0.21741,0.44,3,uk,373.0
private,diesel,151.4,rarely,mixed,natural gas,4.0,3.5,omnivore,157.2,1,medium,1,['none'],"['stove', 'oven', 'microwave', 'grill', 'airfryer']",0.21741,0.44,8,uk,470.9
private,petrol,197.5,never,renewable_heavy,electricity,4.5,6.5,vegetarian,2147.5,0,medium,5,['none'],['stove'],0.147,0.11,2,india,446.0
private,diesel,31.8,very frequently,renewable_heavy,electricity,6.5,8.5,omnivore,192.5,1,extra large,2,"['paper', 'plastic']",['stove'],0.048,0.44,3,uk,804.1
private,petrol,54.6,rarely,mixed,electricity,4.5,3.5,omnivore,457.8,1,medium,2,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,4,us,541.9
public,none,364.3,never,renewable_heavy,electricity,5.0,7.0,omnivore,1334.4,2,extra large,2,['none'],['microwave'],0.147,0.11,1,india,620.4
private,none,221.2,never,renewable_heavy,natural gas,6.0,6.5,pescatarian,425.6,2,medium,2,['plastic'],['stove'],0.048,0.44,1,uk,406.4
private,diesel,678.0,never,mixed,wood,4.0,9.0,vegetarian,151.3,1,large,3,"['paper', 'glass']","['microwave', 'airfryer']",0.21741,0.44,3,uk,357.3
private,hybrid,259.4,never,mixed,natural gas,4.5,6.0,omnivore,1266.0,0,large,2,"['paper', 'plastic', 'metal', 'glass']",['stove'],0.67013,0.11,4,india,417.4
private,diesel,61.8,very frequently,mixed,electricity,2.0,3.0,vegetarian,1077.2,1,large,1,['none'],"['stove', 'grill']",0.3844,0.36,1,us,1103.3
private,petrol,71.6,very frequently,mixed,natural gas,4.0,3.5,omnivore,2447.3,2,small,4,['glass'],['stove'],0.67013,0.11,2,india,1125.4
public,none,86.9,never,renewable_heavy,wood,3.5,9.0,vegan,3327.2,5,large,3,"['paper', 'glass']","['stove', 'microwave', 'airfryer']",0.147,0.11,4,india,622.4
private,diesel,107.3,never,mixed,wood,4.0,10.0,omnivore,366.8,1,medium,2,['metal'],['airfryer'],0.21741,0.44,4,uk,416.2
public,none,208.6,never,mixed,electricity,1.5,2.5,vegetarian,221.6,1,large,6,"['metal', 'glass']","['stove', 'microwave', 'grill']",0.3844,0.36,4,us,321.0
private,lpg,528.8,rarely,mixed,electricity,4.0,0.5,omnivore,296.8,1,medium,2,"['paper', 'plastic', 'metal']","['stove', 'microwave', 'airfryer']",0.3844,0.36,1,us,585.9
private,petrol,319.1,rarely,mixed,natural gas,2.5,6.0,omnivore,311.0,1,small,3,['none'],"['stove', 'oven', 'microwave']",0.3844,0.36,2,us,489.9
private,petrol,564.8,rarely,renewable_heavy,electricity,4.0,2.0,omnivore,311.5,3,medium,1,['none'],['stove'],0.085,0.36,6,us,513.0
public,none,261.1,never,mixed,electricity,4.5,1.5,pescatarian,4104.6,2,medium,2,"['paper', 'glass']","['stove', 'oven', 'microwave', 'grill', 'airfryer']",0.67013,0.11,1,india,871.1
private,none,124.3,never,mixed,natural gas,8.5,3.0,omnivore,322.1,15,extra large,3,['paper'],"['stove', 'microwave']",0.21741,0.44,2,uk,858.8
public,none,52.1,rarely,mixed,wood,3.0,3.5,pescatarian,207.3,1,large,2,['none'],"['stove', 'oven', 'grill']",0.3844,0.36,9,us,327.3
private,petrol,319.9,never,mixed,electricity,2.5,0.5,vegan,306.4,1,medium,4,"['paper', 'plastic']","['stove', 'microwave']",0.3844,0.36,1,us,444.2
private,hybrid,166.5,rarely,mixed,natural gas,3.5,7.0,omnivore,557.0,2,medium,1,"['paper', 'glass']",['oven'],0.3844,0.36,5,us,546.6
private,petrol,370.0,never,mixed,electricity,2.0,4.5,omnivore,867.8,1,medium,4,"['paper', 'plastic']","['oven', 'microwave']",0.67013,0.11,1,india,631.3
private,hybrid,105.3,rarely,mixed,natural gas,0.0,6.0,omnivore,3634.8,4,large,2,"['plastic', 'metal']",['none'],0.67013,0.11,1,india,919.3
private,diesel,788.8,often,mixed,electricity,3.5,3.0,omnivore,4444.8,1,medium,6,"['paper', 'plastic', 'metal']","['stove', 'oven', 'microwave']",0.67013,0.11,1,india,1253.0
private,petrol,791.9,rarely,mixed,electricity,4.0,5.5,omnivore,1255.4,1,medium,2,"['paper', 'plastic']",['none'],0.67013,0.11,1,india,709.6
private,petrol,82.7,often,mixed,natural gas,4.5,4.5,vegetarian,595.3,3,large,4,['none'],['microwave'],0.3844,0.36,10,us,615.1
private,petrol,243.8,never,mixed,natural gas,3.5,6.5,vegetarian,613.8,1,extra large,3,['none'],"['stove', 'microwave', 'airfryer']",0.21741,0.44,1,uk,749.6
public,none,44.1,never,renewable_heavy,natural gas,2.5,2.0,pescatarian,1138.5,2,small,4,"['paper', 'plastic']","['stove', 'microwave']",0.147,0.11,3,india,338.9
public,none,86.6,rarely,mixed,electricity,5.0,7.5,vegan,1584.2,1,small,3,['none'],"['stove', 'grill', 'airfryer']",0.67013,0.11,4,india,416.3
private,diesel,82.6,never,mixed,electricity,3.0,5.0,vegan,382.9,1,medium,2,['none'],"['oven', 'airfryer']",0.3844,0.36,1,us,423.3
private,petrol,105.3,never,renewable_heavy,electricity,3.0,3.0,vegan,2448.9,1,large,2,['none'],"['stove', 'oven']",0.147,0.11,5,india,455.8
private,petrol,141.9,never,mixed,natural gas,5.5,5.5,omnivore,813.2,3,extra large,5,"['paper', 'metal', 'glass']",['stove'],0.21741,0.44,2,uk,878.9
private,diesel,90.0,rarely,renewable_heavy,natural gas,4.0,8.0,omnivore,1723.8,2,medium,2,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.147,0.11,5,india,549.2
private,none,208.1,rarely,mixed,electricity,7.5,7.0,vegan,859.7,1,medium,2,['glass'],['stove'],0.67013,0.11,1,india,494.4
private,petrol,45.7,never,renewable_heavy,electricity,1.5,7.5,vegetarian,751.0,2,large,4,['paper'],"['stove', 'microwave']",0.147,0.11,1,india,534.7
private,diesel,443.0,rarely,mixed,electricity,8.5,5.0,omnivore,237.5,1,medium,5,['none'],"['oven', 'microwave']",0.21741,0.44,1,uk,644.5
private,none,69.6,often,renewable_heavy,electricity,5.5,2.5,omnivore,1694.0,4,small,6,['paper'],['microwave'],0.147,0.11,2,india,706.4
private,diesel,157.4,never,mixed,electricity,1.5,4.5,omnivore,853.3,19,large,7,"['plastic', 'glass']",['stove'],0.3844,0.36,2,us,1170.6
private,none,123.7,rarely,mixed,wood,3.5,5.0,vegetarian,760.8,2,medium,3,['none'],"['oven', 'microwave', 'airfryer']",0.67013,0.11,1,india,493.4
private,diesel,457.6,very frequently,mixed,electricity,3.0,7.5,omnivore,1788.5,2,extra large,4,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.67013,0.11,3,india,1063.5
private,diesel,134.9,never,mixed,electricity,5.5,3.0,vegetarian,815.3,0,medium,9,['none'],['stove'],0.21741,0.44,5,uk,560.4
public,none,673.5,rarely,mixed,natural gas,3.0,8.0,omnivore,2457.5,1,medium,5,"['paper', 'metal']","['stove', 'microwave', 'airfryer']",0.67013,0.11,2,india,723.9
private,hybrid,250.2,rarely,renewable_heavy,wood,2.0,7.5,omnivore,999.1,3,extra large,7,['plastic'],"['stove', 'microwave']",0.147,0.11,4,india,627.4
private,petrol,78.1,rarely,mixed,natural gas,5.5,8.5,vegetarian,483.8,2,medium,4,['none'],"['stove', 'oven', 'microwave', 'grill']",0.3844,0.36,2,us,508.3
public,none,149.6,often,renewable_heavy,electricity,3.5,7.0,vegetarian,349.4,1,medium,2,"['paper', 'glass']",['oven'],0.048,0.44,4,uk,470.7
private,diesel,174.2,rarely,mixed,electricity,0.0,5.0,vegetarian,3894.9,1,medium,2,['paper'],['none'],0.67013,0.11,2,india,743.6
private,diesel,351.1,rarely,mixed,electricity,7.0,3.5,vegetarian,2920.8,1,medium,1,['none'],['stove'],0.67013,0.11,1,india,719.3
public,none,211.0,never,renewable_heavy,electricity,4.0,8.5,omnivore,415.3,1,medium,2,['paper'],"['oven', 'airfryer']",0.048,0.44,1,uk,493.7
public,none,148.5,rarely,mixed,natural gas,4.0,6.5,vegetarian,591.4,1,medium,2,['none'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,578.2
walk/bicycle,none,91.1,never,mixed,natural gas,6.5,1.0,vegetarian,363.4,4,medium,2,"['plastic', 'metal']","['stove', 'oven', 'microwave']",0.21741,0.44,1,uk,457.5
public,none,278.6,never,mixed,electricity,5.5,8.0,vegetarian,232.9,3,medium,2,['none'],"['stove', 'oven', 'grill']",0.21741,0.44,1,uk,426.6
public,none,131.9,rarely,mixed,natural gas,9.5,5.0,omnivore,644.4,0,medium,1,"['paper', 'plastic', 'metal']","['stove', 'oven']",0.3844,0.36,7,us,552.0
private,petrol,94.7,never,mixed,natural gas,2.5,6.0,vegetarian,1340.0,9,small,1,"['paper', 'plastic', 'glass']","['stove', 'airfryer']",0.67013,0.11,1,india,547.3
private,petrol,71.8,never,mixed,electricity,6.0,10.0,vegetarian,2365.2,3,medium,5,['none'],"['stove', 'oven', 'airfryer']",0.67013,0.11,9,india,524.1
private,hybrid,456.2,very frequently,mixed,electricity,2.5,4.5,vegan,520.5,1,small,2,['none'],"['stove', 'microwave']",0.21741,0.44,5,uk,748.9
private,petrol,47.6,often,renewable_heavy,wood,5.0,0.0,vegan,177.8,1,large,2,['none'],"['stove', 'oven']",0.048,0.44,2,uk,462.3
walk/bicycle,none,279.3,never,mixed,electricity,7.0,5.5,vegetarian,312.9,1,medium,5,['plastic'],['none'],0.21741,0.44,1,uk,459.1
private,petrol,184.8,never,mixed,electricity,3.0,3.5,omnivore,1017.3,1,medium,2,['none'],"['stove', 'oven', 'grill']",0.3844,0.36,2,us,661.9
public,none,110.8,never,mixed,electricity,10.0,4.5,omnivore,4034.7,0,large,4,"['paper', 'plastic', 'metal', 'glass']",['oven'],0.67013,0.11,1,india,918.4
private,petrol,95.1,never,mixed,natural gas,5.5,3.0,vegetarian,547.4,1,medium,1,['none'],"['stove', 'microwave']",0.3844,0.36,1,us,462.1
private,petrol,184.3,never,renewable_heavy,wood,3.5,1.0,vegetarian,391.0,3,medium,3,['plastic'],['stove'],0.085,0.36,2,us,392.0
public,none,111.8,rarely,mixed,electricity,0.0,6.5,vegetarian,371.6,0,medium,4,['plastic'],['stove'],0.3844,0.36,5,us,349.8
private,diesel,107.9,never,mixed,electricity,4.5,9.0,vegan,244.3,1,medium,2,['none'],"['stove', 'oven', 'microwave']",0.21741,0.44,6,uk,256.1
private,petrol,443.4,often,mixed,wood,8.0,6.5,omnivore,414.8,1,extra large,5,['paper'],['none'],0.3844,0.36,1,us,1145.1
private,petrol,157.8,often,mixed,natural gas,5.0,3.0,omnivore,3931.2,1,small,3,['metal'],['stove'],0.67013,0.11,2,india,942.5
private,petrol,182.5,never,mixed,wood,6.0,5.0,vegetarian,304.9,1,medium,3,"['paper', 'plastic', 'metal']",['oven'],0.3844,0.36,4,us,294.0
private,none,88.1,rarely,mixed,natural gas,4.0,11.5,vegetarian,213.9,3,large,5,"['paper', 'metal', 'glass']",['none'],0.3844,0.36,2,us,478.7
public,none,443.7,never,mixed,natural gas,4.0,7.0,vegetarian,604.0,1,medium,4,['none'],['stove'],0.21741,0.44,1,uk,571.4
walk/bicycle,none,544.2,rarely,mixed,electricity,4.0,5.0,vegetarian,352.1,1,medium,2,['glass'],"['stove', 'microwave']",0.3844,0.36,6,us,410.2
public,none,220.7,never,mixed,electricity,3.0,2.0,omnivore,250.3,2,medium,1,['none'],['grill'],0.3844,0.36,8,us,328.6
public,none,655.0,rarely,mixed,natural gas,4.0,5.5,omnivore,438.0,1,large,8,['metal'],"['stove', 'microwave']",0.3844,0.36,2,us,753.8
public,none,111.1,rarely,mixed,electricity,4.0,4.0,vegetarian,358.0,3,small,2,['plastic'],"['stove', 'grill']",0.3844,0.36,1,us,483.1
private,lpg,414.6,very frequently,mixed,electricity,5.5,7.0,vegetarian,1983.6,5,small,1,"['paper', 'glass']","['stove', 'oven']",0.67013,0.11,1,india,1030.8
public,none,128.8,never,mixed,electricity,4.0,5.0,omnivore,460.8,1,medium,7,['paper'],"['stove', 'microwave']",0.21741,0.44,5,uk,494.1
public,none,117.4,never,mixed,electricity,6.5,8.5,omnivore,427.4,4,medium,4,['none'],"['stove', 'oven']",0.21741,0.44,3,uk,541.3
private,petrol,638.2,never,mixed,natural gas,9.5,8.5,vegetarian,549.3,1,large,3,['plastic'],['oven'],0.3844,0.36,1,us,639.8
private,petrol,130.8,never,mixed,electricity,3.0,0.5,omnivore,460.3,0,small,2,"['paper', 'glass']","['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,2,us,472.6
public,none,76.7,rarely,mixed,natural gas,8.5,6.0,omnivore,718.2,7,medium,4,['plastic'],['stove'],0.67013,0.11,4,india,551.6
walk/bicycle,none,35.4,very frequently,mixed,electricity,6.0,9.0,vegetarian,446.0,2,medium,9,['none'],['stove'],0.3844,0.36,1,us,1117.6
walk/bicycle,none,182.6,rarely,mixed,natural gas,3.0,8.0,omnivore,209.4,2,medium,2,['none'],['stove'],0.3844,0.36,4,us,473.8
private,petrol,72.0,rarely,mixed,electricity,7.5,0.0,omnivore,234.5,1,medium,2,['none'],['microwave'],0.21741,0.44,3,uk,448.0
public,none,1071.9,rarely,mixed,electricity,5.5,10.0,vegetarian,1294.0,1,small,2,['none'],['none'],0.67013,0.11,3,india,425.9
private,petrol,868.0,never,mixed,electricity,6.0,1.0,omnivore,477.1,1,small,1,['none'],"['stove', 'microwave']",0.21741,0.44,1,uk,600.4
public,none,12.2,very frequently,mixed,electricity,0.0,0.5,vegetarian,713.1,10,large,2,"['paper', 'plastic']","['stove', 'microwave']",0.67013,0.11,2,india,912.1
public,none,789.7,very frequently,mixed,natural gas,6.0,0.5,vegetarian,381.3,1,large,5,"['paper', 'plastic']","['stove', 'oven']",0.3844,0.36,6,us,725.5
walk/bicycle,none,89.7,never,mixed,electricity,4.0,6.5,omnivore,403.6,4,medium,3,['none'],"['microwave', 'grill']",0.3844,0.36,6,us,462.1
walk/bicycle,none,559.4,never,renewable_heavy,natural gas,5.0,2.5,vegetarian,2918.1,10,medium,3,"['paper', 'plastic']","['stove', 'oven', 'microwave']",0.147,0.11,5,india,639.8
private,electric,470.3,rarely,renewable_heavy,electricity,5.5,3.0,vegetarian,448.9,1,medium,5,"['plastic', 'metal']","['stove', 'microwave']",0.085,0.36,2,us,436.6
walk/bicycle,none,606.2,often,mixed,electricity,5.0,3.5,omnivore,469.8,2,medium,2,['none'],"['stove', 'microwave']",0.21741,0.44,5,uk,683.0
public,none,915.3,rarely,mixed,natural gas,5.5,8.0,omnivore,452.8,1,large,1,"['paper', 'plastic', 'metal']",['airfryer'],0.3844,0.36,2,us,560.5
private,diesel,63.9,rarely,mixed,electricity,6.0,7.0,vegan,4880.4,1,medium,2,['none'],['grill'],0.67013,0.11,1,india,899.8
private,diesel,70.7,rarely,renewable_heavy,electricity,3.5,1.5,omnivore,335.0,1,large,2,['none'],"['stove', 'microwave', 'airfryer']",0.085,0.36,3,us,492.8
public,none,375.6,rarely,mixed,electricity,8.5,3.0,vegan,5000.0,0,medium,4,['metal'],"['oven', 'microwave']",0.67013,0.11,2,india,868.5
private,hybrid,200.6,very frequently,mixed,electricity,5.5,1.0,vegetarian,313.6,1,small,4,"['paper', 'metal']","['stove', 'grill']",0.3844,0.36,4,us,696.5
private,hybrid,333.1,often,mixed,electricity,2.5,3.0,omnivore,654.0,1,small,1,['none'],"['stove', 'oven', 'microwave', 'airfryer']",0.3844,0.36,1,us,786.1
private,petrol,132.3,often,mixed,wood,5.0,6.0,omnivore,4420.8,2,medium,1,"['paper', 'plastic']",['stove'],0.67013,0.11,3,india,1017.3
private,diesel,402.1,never,mixed,electricity,1.5,4.0,pescatarian,385.0,14,medium,5,['none'],"['stove', 'oven', 'microwave']",0.3844,0.36,1,us,823.4
private,petrol,56.5,never,mixed,natural gas,6.0,2.0,pescatarian,335.8,2,medium,1,"['plastic', 'glass']",['stove'],0.21741,0.44,3,uk,327.4
